Rank,Name,Symbol,marketcap,price (USD),country,Sector
110,Hexagon AB,HEXA-B.ST,25458714299,9.48402,Sweden, Industrials
111,Telefónica,TEF,25450635264,4.46,Spain, Telecommunications
112,Bayer,BAYN.DE,25394912887,25.8492,Germany, Health Care
113,Cellnex Telecom,CLNX.MC,25085502116,35.5548,Spain , Telecommunications
114,Danske Bank,DANS.VI,24895609913,29.656,Denmark, Finance
115,Maersk,MAERSK-B.CO,24776894708,1614.97,Denmark, Industrials
116,Sandvik,SAND.ST,24752542860,19.7327,Sweden, Industrials
117,Philips,PHG,24722935808,26.53,Netherlands, Health Care
118,Nokia,NOK,24585668608,4.53,Finland, Technology
119,RWE,RWE.DE,24201103142,32.5353,Germany,  Utilities
120,Michelin,ML.PA,24115192270,33.8078,France, Consumer Discretionary
121,H&amp;M,HM-B.ST,23949763071,14.8975,Sweden, Consumer Discretionary
122,Sampo,SAMPO.HE,23337424902,43.2223,Finland, Finance
123,Société Générale,GLE.PA,23130003339,28.734,France, Finance
124,Ørsted,DOGEF,23112650752,55,Denmark, Utilities
125,Epiroc,EPI-A.ST,22952461765,19.6954,Sweden, Industrials
126,Naturgy,NTGY.MC,22876100369,23.8111,Spain, Utilities
127,Veolia,VIE.PA,22715685849,30.5187,France, Utilities
128,Swedbank,SWED-A.ST,22646390683,20.1244,Sweden, Finance
129,HeidelbergCement,HEI.DE,22599866624,124.771,Germany, Basic Materials
130,Erste Group Bank,EBO.F,22479577267,57.2199,Austria, Finance
131,Seagate Technology,STX,22148249600,104.705,Ireland, Technology
132,Endesa,ELE.MC,21962605793,20.7484,Spain, Utilities
133,Steris,STE,21394806784,216.75,Ireland, Health Care
134,ČEZ Group,CEZ.PR,20783293576,38.7163,Czech Republic, Utilities
135,Svenska Handelsbanken,SHB-A.ST,20622496934,10.3606,Sweden, Finance
136,Fresenius,FRE.DE,20572452635,36.5254,Germany, Health Care
137,Tenaris,TS,20530505728,37.03,Luxembourg, Energy
138,Commerzbank,CBK.F,20338559241,17.1681,Germany, Finance
139,Talanx,TLX.DE,20286834707,78.5614,Germany, Finance
140,Uniper,UN0.DE,19990034828,47.4496,Germany, Utilities
