date,symb
2003-03-03 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; ING; NEON; SAP; BBVA; TEF; E; AMRN; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; ASML; STE; TS; ALKS; QGEN; PRGO; TRIB; FLUT; JHX; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-04 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; NEON; ING; SAP; BBVA; TEF; E; AMRN; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; TS; ALKS; QGEN; PRGO; FLUT; JHX; TRIB; STX; ALV; ICLR; NTZ; AVDL; CLB; EDAP
2003-03-05 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; ING; NEON; BBVA; SAP; TEF; E; AMRN; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; ALKS; QGEN; PRGO; FLUT; JHX; TRIB; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-06 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; NEON; SAP; BBVA; ING; TEF; E; AMRN; JCI; PHG; ACN; AEG; ERIC; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; QGEN; ALKS; PRGO; FLUT; STX; JHX; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-07 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; NEON; SAP; BBVA; ING; TEF; E; AMRN; JCI; PHG; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; QGEN; ALKS; PRGO; FLUT; STX; TRIB; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-10 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; NEON; SAP; BBVA; TEF; ING; E; AMRN; JCI; PHG; ACN; ERIC; MT; CRH; AEG; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; QGEN; ALKS; PRGO; FLUT; STX; JHX; TRIB; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-11 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; SAP; BBVA; NEON; TEF; ING; E; AMRN; JCI; PHG; ACN; MT; ERIC; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; QGEN; ALKS; PRGO; FLUT; STX; TRIB; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-12 00:00:00-05:00,DB; MDT; NOK; SNY; SAN; TTE; SAP; BBVA; NEON; TEF; ING; E; AMRN; JCI; PHG; ACN; ERIC; MT; CRH; AEG; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; ALKS; QGEN; PRGO; FLUT; TRIB; JHX; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-13 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; BBVA; ING; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; ALKS; QGEN; PRGO; FLUT; TRIB; JHX; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-14 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; BBVA; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; TS; ALKS; PRGO; QGEN; TRIB; FLUT; JHX; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-17 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; SAP; ING; BBVA; TEF; E; AMRN; PHG; JCI; ERIC; ACN; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; QGEN; PRGO; TRIB; FLUT; JHX; STX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-18 00:00:00-05:00,DB; NOK; MDT; SAN; SNY; TTE; NEON; SAP; ING; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; TRIB; FLUT; STX; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-19 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; BBVA; ING; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; TS; ALKS; PRGO; QGEN; TRIB; FLUT; STX; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-20 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; BBVA; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; ALKS; TS; PRGO; QGEN; TRIB; FLUT; STX; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-21 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; NEON; SAP; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; ALKS; TS; PRGO; QGEN; TRIB; FLUT; STX; JHX; ALV; ICLR; AVDL; NTZ; CLB; EDAP
2003-03-24 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; SAP; ING; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; ASML; TT; STE; ALKS; TS; PRGO; QGEN; TRIB; FLUT; STX; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-03-25 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; ING; SAP; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; AEG; MT; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; ASML; STE; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-03-26 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; ING; SAP; NEON; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-03-27 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; BBVA; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-03-28 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; ING; BBVA; TEF; NEON; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-03-31 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; BBVA; ING; TEF; NEON; E; AMRN; JCI; PHG; ACN; ERIC; MT; CRH; AEG; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; AVDL; ALV; ICLR; NTZ; CLB; EDAP
2003-04-01 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; SAP; BBVA; ING; TEF; NEON; E; AMRN; JCI; PHG; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; STE; TT; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; AVDL; ALV; ICLR; NTZ; CLB; EDAP
2003-04-02 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; SAP; ING; BBVA; TEF; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; ALKS; TS; PRGO; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
2003-04-03 00:00:00-05:00,DB; NOK; MDT; SNY; SAN; TTE; NEON; SAP; BBVA; ING; TEF; E; AMRN; PHG; JCI; ACN; ERIC; MT; AEG; CRH; ETN; NVO; FMS; RYAAY; VEON; TT; STE; ASML; ALKS; PRGO; TS; QGEN; TRIB; STX; FLUT; JHX; ALV; AVDL; ICLR; NTZ; CLB; EDAP
